,SP_Original,SP_Contrast,Original,Contrast
Help=0,0.9569672131147541,0.9569672131147541,0.9549180327868853,0.9549180327868853
Help=1,0.9596994535519126,0.9583333333333334,0.9624316939890711,0.9610655737704917
Help=2,0.9617486338797815,0.9590163934426229,0.9610655737704917,0.9596994535519127
Help=3,0.9624316939890711,0.9637978142076502,0.9603825136612022,0.9631147540983607
