,,Original,
,,Errors,,,Errors,,,Errors,,,Errors
Runs,Correct,Wrong,No_sentiment,Correct,Wrong,No_sentiment,Correct,Wrong,No_sentiment,Correct,Wrong,No_sentiment
Run 0,0.9549180327868853,0.036885245901639344,0.00819672131147541,0.9631147540983607,0.036885245901639344,0.0,0.9631147540983607,0.036885245901639344,0.0,0.9610655737704918,0.0389344262295082,0.0
Run 1,,,,0.9631147540983607,0.036885245901639344,0.0,0.9590163934426229,0.040983606557377046,0.0,0.9590163934426229,0.040983606557377046,0.0
Run 2,,,,0.9610655737704918,0.0389344262295082,0.0,0.9631147540983607,0.036885245901639344,0.0,0.9631147540983607,0.036885245901639344,0.0
