"","","caps",""
"","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors"
"Runs","Correct","Wrong","No_sentiment","Correct","Wrong","No_sentiment","Correct","Wrong","No_sentiment","Correct","Wrong","No_sentiment"
"Run all",0.8073770491803278,0.036885245901639344,0.1557377049180328,0.5840163934426229,0.10245901639344263,0.3135245901639344,0.7233606557377049,0.125,0.15163934426229508,0.8094262295081968,0.11270491803278689,0.0778688524590164
"Run key",0.8073770491803278,0.036885245901639344,0.1557377049180328,0.9631147540983607,0.036885245901639344,0.0,0.9651639344262295,0.03483606557377049,0.0,0.9610655737704918,0.0389344262295082,0.0
"Run lower",0.9549180327868853,0.036885245901639344,0.00819672131147541,0.9610655737704918,0.0389344262295082,0.0,0.9651639344262295,0.03483606557377049,0.0,0.9610655737704918,0.0389344262295082,0.0
