"","","system_all_upper",""
"","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors"
"Runs","Correct","Wrong","No_sentiment","Correct","Wrong","No_sentiment","Correct","Wrong","No_sentiment","Correct","Wrong","No_sentiment","Correct","Wrong","No_sentiment"
"Run all",0.9569672131147541,0.0430327868852459,0.0,0.9549180327868853,0.045081967213114756,0.0,0.9651639344262295,0.03483606557377049,0.0,0.9590163934426229,0.040983606557377046,0.0,0.9631147540983607,0.036885245901639344,0.0
