"","","all",""
"","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors","Errors"
"Runs","Correct","Wrong","No_sentiment","Correct","Wrong","No_sentiment","Correct","Wrong","No_sentiment","Correct","Wrong","No_sentiment","Correct","Wrong","No_sentiment"
"Run all",0.8073770491803278,0.036885245901639344,0.1557377049180328,0.5901639344262295,0.10860655737704918,0.3012295081967213,0.6864754098360656,0.13114754098360656,0.18237704918032788,0.8237704918032787,0.09836065573770492,0.0778688524590164,0.8770491803278688,0.08811475409836066,0.03483606557377049
